id,geom,NAME,category,lat,lng,geohash
452,0101000020E6100000D46942581D8352C081030FCDE6D11240,Be 1 Goal For 3 Months,Gym / Fitness Center,4.704981998,-74.04866606,d2g6fb
453,0101000020E61000002BFBC740C88352C0B031B11BF6F31240,Parque 152B,Park,4.738243516,-74.05909748,d2g6fw
454,0101000020E61000009A0B5C1E6B8552C0317C444C89C41240,SmartFit Calle 80,Gym,4.69193,-74.084663,d2g6dn
455,0101000020E6100000FBE00961098452C0059F22A385C31240,Bodytech,Gym,4.690939473,-74.06307245,d2g6dt
456,0101000020E6100000FFFFFF87878352C05C75BF2B82BC1240,Parque Chicó Norte II Sector,Park,4.684090313,-74.05514717,d2g6du
457,0101000020E610000023A337C1308952C03F4FDDE150801240,Parque El Triangulo,Park,4.625308541,-74.14360075,d2g62f
458,0101000020E61000005BB18E38498352C09D8997094DE11240,Bodytech,Gym,4.720020437,-74.05134405,d2g6fg
459,0101000020E61000005DBF60376C8552C0F65CA626C14B1240,Parque San Cristobal,Park,4.573979,-74.08473,d2g640
460,0101000020E6100000FEFFFFB8828452C0A43ECD6D238A1240,Parque Palermo (Gernika),Park,4.634900776,-74.07047868,d2g667
461,0101000020E61000004D5CC1AC818652C08CB23DECEFAE1240,La Grama F6,Soccer Field,4.670837108,-74.10166472,d2g69f
462,0101000020E61000005C3B74762A8552C0E015B537D6A11240,Sede Deportiva De La Federacion Colombia De Futbol,Soccer Field,4.658043738,-74.08071672,d2g66r
463,0101000020E6100000FFFFFF0FCF8652C0E4D87C9A496F1240,Parque de Tibana,Park,4.608679212,-74.10638809,d2g61w
464,0101000020E6100000FFFFFF339A8852C0F33C493587491240,Parque Metropolitano El Tunal,Park,4.571804841,-74.13441181,d2g610
465,0101000020E61000009481C93B828652C0B1620CB84E971240,Bodytech Gran Estación,Gym / Fitness Center,4.647761226,-74.10169882,d2g63y
466,0101000020E6100000D6BA3FA44C8A52C0066532A0619C1240,Pista De Patinaje El Tintal,Skating Rink,4.652716163,-74.16092783,d2g62r
467,0101000020E6100000FFFFFF33628452C00A46C562CE711240,Parque De La Independencia,Park,4.611138862,-74.06849384,d2g64x
468,0101000020E61000009D1BAE5AAA8652C092496F16E1C61240,Bally Gym,Gym,4.694218016,-74.1041476,d2g69w
469,0101000020E6100000C4A5E7D1048352C0FE7D294112BC1240,Spinning Center Calle 100,Gym / Fitness Center,4.683663386,-74.04716919,d2g6eh
470,0101000020E610000015BDF548168552C0945AD38F2CD91240,Calatrava,Scenic Lookout,4.712084052,-74.07948517,d2g6f3
471,0101000020E6100000030000C4A58352C0E05F027B9ED11240,Parque El Batan,Park,4.704706118,-74.05699253,d2g6fb
472,0101000020E6100000347AAC73478452C0A17ED3A177E01240,Parque Iberia,Dog Run,4.71920636,-74.06686107,d2g6fe
473,0101000020E61000003B8EA5BB7D8252C0903FCCC26DC61240,Parque Lineal Los Molinos Santa Barbara Central,Park,4.69377808,-74.03892413,d2g6en
474,0101000020E61000002CBAA1B0438352C0DA88423225031340,Club Plaza 170 Fútbol 5,Soccer Field,4.75307158,-74.05100647,d2g74c
475,0101000020E610000078C3BF01468452C069639F1506E71240,Parque Colina 135,Park,4.725609148,-74.06677288,d2g6fs
476,0101000020E610000042817F43C08352C01BAA99735DCA1240,Parque 35 Alhambra,Park,4.697622114,-74.05860984,d2g6dz
477,0101000020E6100000C2E12BF56D8452C040E3E6D53DA71240,Alcázares,Garden,4.663321821,-74.06921129,d2g6d8
478,0101000020E61000008D28CDE8728752C0A6EFB196C1701240,polideportivo El Jazmin,Playground,4.610113482,-74.11638851,d2g61r
479,0101000020E6100000DB813EBBF08652C085D16DAA0D641240,Bodytech,Gym / Fitness Center,4.597708381,-74.10844308,d2g61s
480,0101000020E610000009A8E38CD08252C01DC199C6D4C41240,Hard Body,Gym,4.692217925,-74.0439789,d2g6en
481,0101000020E6100000FFFFFF33088452C02CF71228069E1240,Parque De Las Flores,Park,4.65432036,-74.06300068,d2g66x
482,0101000020E6100000E4310395F18352C0C44E67DDF5981240,Parque Lourdes,Plaza,4.6493754,-74.06162,d2g66w
483,0101000020E6100000A2F1B7B3C78652C0B2A7FF761AC41240,La Clarita,Park,4.691507205,-74.10593884,d2g69w
484,0101000020E61000007643357D468452C0A90EB0CA03A71240,Bowl Ruinas,Skate Park,4.663100402,-74.06680231,d2g6d8
485,0101000020E6100000FFFFFF87958452C0675600C2B47E1240,Parque La Esmeralda,Park,4.623736411,-74.07162666,d2g663
486,0101000020E610000036E3E19FCB8752C0B1619CCD3CAA1240,Parque del Muro,Park,4.666247571,-74.12180326,d2g693
487,0101000020E610000025C93C9A628752C09D7570FDEC861240,Bodytech Plaza Central,Gym / Fitness Center,4.63176342,-74.11539322,d2g637
488,0101000020E6100000A114ADDC0B8452C05CACA8C1348C1240,Kick5,Soccer Field,4.63692,-74.063224,d2g66s
489,0101000020E6100000B375BF67638752C00DDCA34D31EC1240,Parques de la Ciudadela Colsubsidio,Park,4.730656827,-74.11544222,d2g6cm
490,0101000020E6100000BA91DC08178652C062B804A5AEE11240,Humedal Juan Amarillo,Nature Preserve,4.720392779,-74.09515592,d2g6cg
491,0101000020E6100000C1557640068352C0B7BFDDFF4BC81240,Parque Urbanizacion Santa Barbara,Park,4.695602415,-74.04725658,d2g6en
492,0101000020E6100000DAA1C7E1668752C0895B114DC8371240,Parque Marruecos,Park,4.554475025,-74.11565442,d2g3cm
493,0101000020E610000037E734850B8352C02C809F05ADD11240,Helena del Mar Gym,Gym,4.704761589,-74.04757815,d2g6g0
494,0101000020E610000048E7D9133E8952C0A049B218DCB11240,Parque Principal Fontibón,Park,4.673691164,-74.14441391,d2g68f
495,0101000020E61000000A4AE222DF8352C0C37EF1946F921240,Parque Portugal,Park,4.643003776,-74.06049416,d2g66t
496,0101000020E610000000000054F78352C066EA6D40E4941240,Parque de los Hippies,Park,4.645401961,-74.06197071,d2g66t
497,0101000020E61000008B46DC62278652C04C4C4EA81FEF1240,Parque Aures I,Park,4.733519201,-74.09615394,d2g6cv
498,0101000020E610000001000008F58652C016CC6B9C89BA1240,Parque Villa Luz,Park,4.682165569,-74.10870552,d2g69s
499,0101000020E6100000543A58FFE78252C0143FC6DCB5C41240,Cyglo-108,Cycle Studio,4.6921,-74.04541,d2g6en
500,0101000020E61000005502FF4A428252C04EE1B7BCE1C51240,Edificio ventura,Gym,4.693243932,-74.0352962,d2g6eq
501,0101000020E61000007226F94CB28C52C0C18AF75F888C1240,Parque Atalayas,Park,4.637238979,-74.19838261,d2g4rs
502,0101000020E6100000454772F90F8352C0E1455F419AA91240,Parque de la 85,Park,4.6656275,-74.04785,d2g6e1
503,0101000020E6100000C442B667E18852C0A912FEC7268D1240,Polideportivo Castilla,Recreation Center,4.637843251,-74.13875764,d2g62u
504,0101000020E6100000D6E540D9AF8552C008A550D7839F1240,Parque Virgilio Barco,Park,4.655776371,-74.08885795,d2g66p
505,0101000020E6100000F8DFEFD9BD8552C0DB93FDB6BAA61240,Pista De Patinaje El Salitre,Skate Park,4.662821635,-74.0897126,d2g6d0
506,0101000020E610000024CFBBEA6A8352C02208E09C95AE1240,Tutto Corpo,Gym / Fitness Center,4.670492603,-74.05340069,d2g6df
507,0101000020E610000033535DE93C8552C0EF31BB77FB631240,Parque Tercer Milenio,Park,4.597638961,-74.08184275,d2g64h
508,0101000020E610000077103B53E88452C0988A8D791DD11240,Parque Niza Antigua,Park,4.704214,-74.07668,d2g6f2
509,0101000020E61000002A94A92F4D8452C029201F39DBD11240,Humedal de Córdoba,Lake,4.704937832,-74.06721107,d2g6f8
510,0101000020E6100000B97020240B8452C0395E81E849991240,Plaza Lourdes,Plaza,4.649696,-74.06318,d2g66w
511,0101000020E6100000C1E5B166648A52C01BBB44F5D6601240,polisur canchas sinteticas,Soccer Field,4.59457,-74.162378,d2g60k
512,0101000020E610000068288661E28852C04D3177514BDA1240,Engativa,Plaza,4.713177941,-74.1388172,d2g6bf
513,0101000020E6100000290989B48D8752C074D190F128851240,Supergol C.C. Outlet Factory,Soccer Field,4.630039,-74.118024,d2g636
514,0101000020E6100000F4D3390D048652C03A982900F6C41240,Humedal Santa Maria del Lago,Lake,4.692344668,-74.09399729,d2g69y
515,0101000020E6100000A2C040C1248652C051D50D61B4941240,Plaza de los Héroes Caídos,Plaza,4.645219342,-74.09599334,d2g63v
516,0101000020E6100000070C923EAD8452C03A7AFCDEA6BF1240,Fitforall,Gym / Fitness Center,4.68716,-74.073074,d2g6dm
517,0101000020E6100000333019D1D18352C0F182F76DB8971240,Salón de Pesas del Body,Gym,4.64816448,-74.0596812,d2g66w
518,0101000020E6100000A85A28AA758452C022C6079D1E921240,Parque Público Lleras Banco Central,Park,4.642694906,-74.06968168,d2g66t
519,0101000020E610000013C40E5F898352C0F6C423A131901240,Quebrada La Delicia,Trail,4.640814321,-74.05525948,d2g66u
520,0101000020E61000002AF6300DDB8352C01DFDDCFA88941240,Parque la Salle,Park,4.645053787,-74.06024484,d2g66t
521,0101000020E6100000FCFA3864A78752C0827B93EAFBCA1240,Parque Los Angeles,Park,4.698226609,-74.11959177,d2g69r
522,0101000020E61000006AB609DD0E8352C06C079D2365C61240,Hammer Gym,Gym / Fitness Center,4.69374519,-74.04778219,d2g6en
523,0101000020E6100000A4EBAC2F578752C021FE0A87708C1240,Canchas De Futbol 8 GD,Soccer Field,4.637148008,-74.11469643,d2g63k
524,0101000020E610000057772CB6498552C0E6CC76853EB81240,Smart Fit Metrópolis,Gym,4.679926,-74.082624,d2g6d5
525,0101000020E6100000168ADE822F8352C057ABD90CA8CB1240,Ciclovía 116 con Av. 19,Trail,4.698883248,-74.04977485,d2g6dz
526,0101000020E6100000FFFFFF653F8452C00EB031EFFE701240,Parque Bosque Izquierdo,Dog Run,4.610347497,-74.06636953,d2g64x
527,0101000020E6100000FE386CE7CD8652C01CCA55670BA81240,Canchas de Futbol de Don Bosco,Soccer Field,4.664106001,-74.10631738,d2g699
528,0101000020E6100000AA9CF6949C8552C0D87F9D9B36F31240,Gimnasio Compensar,Gymnastics Gym,4.737513,-74.087682,d2g6fn
529,0101000020E61000005A138AA6CF8752C074EB9E0535E31240,5 site futbol,Soccer Field,4.72188195,-74.12204898,d2g6c7
530,0101000020E6100000FDA6B22CE48652C0F6B9DF96A0C91240,Parque Zarzamora,Park,4.696901662,-74.10767667,d2g69x
531,0101000020E610000048D2264D3D8852C03D2812B10B7E1240,Parque La Igualdad,Soccer Field,4.623091475,-74.12874154,d2g631
532,0101000020E61000001CFE261F758352C01F33EF9096941240,Cerros Orientales,Trail,4.645105614,-74.05402354,d2g66v
533,0101000020E6100000FCFFFF49A88252C0C17FCBDFD9B51240,Parque Público La Reserva,Park,4.677588937,-74.04152155,d2g6e5
534,0101000020E6100000F4A9747AFD8252C04F3C01FFB1DF1240,Fit For All Cedritos,Gym / Fitness Center,4.718452439,-74.04672109,d2g6g4
535,0101000020E6100000ED4F505CA78B52C0A0F5E95E9F811240,SKY Gym,Gym,4.626584514,-74.18208988,d2g4rf
536,0101000020E61000003FE3B116418352C0642C1987DFC21240,Be Smart Fitness LAB Chico Navarra,Gymnastics Gym,4.690305816,-74.0508477,d2g6dv
537,0101000020E61000000A850838848752C051F4C0C760851240,Fitness24Seven,Gym / Fitness Center,4.630252,-74.117445,d2g636
538,0101000020E6100000213A048E048752C07863416150961240,Athletic Gym Salitre,Gym / Fitness Center,4.646791,-74.109653,d2g63t
539,0101000020E61000009169869A518452C0BF873A95649D1240,Totally In Shape Gym,Gym,4.653704006,-74.06748069,d2g66x
540,0101000020E6100000A88F59178B8652C022BB27BDBA551240,Parque del Restrepo,Park,4.583720165,-74.10223945,d2g61f
541,0101000020E6100000443D7140FC8452C0C771F7CC4F8D1240,El Parque De Belarcazar,Park,4.637999728,-74.07789622,d2g66k
542,0101000020E6100000FDFFFF51638352C001C2A301CE9A1240,Parque Gustavo Uribe Botero,Park,4.651176477,-74.05293703,d2g66y
543,0101000020E6100000BD09E83F1F8352C0ADC28831319A1240,homenaje humedal cordoba,Trail,4.650578283,-74.04878233,d2g66y
